Index,id,Keyword,name,address,street_address,city,state,zipcode,Plus_Code,website,phone,email,Facebook,Twitter,Instagram,Lat,Lng,Verification_Text,Category,Rating,Reviews,profile_photo,Sub_Title,Pricing,Amenities,Description,Summary,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,External_Urls,Photo_Tags,URL
10,562,"Perry County, Alabama Electrician",Bent Tree Electric LLC,"809 Highland Ave, Selma, AL 36701",809 Highland Ave,Selma,AL,36701,"CXJC+JV Selma, Alabama",benttreeelectric.net,(334) 874-7074,default@example.com,,,,"32,431561","-87,0278233",Claim this business,Electrician,"2,1",7,//geo3.ggpht.com/cbk?panoid=OO7AuVt8hN-tfzCkCvY83A&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=10.210777&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Bent+Tree+Electric+LLC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f05c9783854e7:0x63597d5231349f8e!8m2!3d32.431561!4d-87.0278233?hl=en"
11,561,"Perry County, Alabama Electrician",Alabama J & S Electric Co.,"2517 AL-14, Selma, AL 36703",2517 AL-14,Selma,AL,36703,"C2JC+W5 Selma, Alabama",,(334) 875-1545,default@example.com,,,,"32,4323543","-86,9795029",,Electrician,,,https://lh5.googleusercontent.com/p/AF1QipNgcKb1OhNv0wm-2HFvifaYyUVFH-qIcVcTk7eC=w408-h279-k-no,,,,,,7AM–4PM,7AM–4PM,7AM–4PM,7AM–4PM,7AM–4PM,Closed,Closed,,"All, By owner, Street View & 360°","https://www.google.com/maps/place/Alabama+J+%26+S+Electric+Co./@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f03f4d9be52cf:0xe72df49196b3331a!8m2!3d32.4323543!4d-86.9795029?hl=en"
12,560,"Perry County, Alabama Electrician",B & H Electric Co,"1224 J.L. Chestnut Jr Blvd STE A, Selma, AL 36703",1224 J.L. Chestnut Jr Blvd STE A,Selma,AL,36703,"CX6H+GC Selma, Alabama",,(334) 874-8295,default@example.com,,,,"32,4113","-87,0214",Claim this business,Electrician,,,//geo3.ggpht.com/cbk?panoid=iuUCWkFLlGThw7aQLSEbsw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=275.49423&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/B+%26+H+Electric+Co/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f068019330105:0xc66d30a4b805321b!8m2!3d32.4113!4d-87.0214?hl=en"
13,559,"Perry County, Alabama Electrician",Southern Electrical Services,"3010 Earl Goodwin Pkwy, Selma, AL 36703",3010 Earl Goodwin Pkwy,Selma,AL,36703,"CXXP+67 Selma, Alabama",,(334) 412-5441,default@example.com,,,,"32,4481152","-87,0142602",,Electrician,"3,7",3,https://lh5.googleusercontent.com/p/AF1QipMfQ-l5VnKRS7XmkLsO5KBzmZ9wt2qpMZHptcTR=w408-h306-k-no,,,,,,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,Closed,Closed,,"All, Street View & 360°","https://www.google.com/maps/place/Southern+Electrical+Services/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f042ad91eb5c9:0x2c8ebe66c06f93bc!8m2!3d32.4481152!4d-87.0142602?hl=en"
14,558,"Perry County, Alabama Electrician",Selma Electric Repair,"603 J.L. Chestnut Jr Blvd, Selma, AL 36701",603 J.L. Chestnut Jr Blvd,Selma,AL,36701,"CX79+XR Selma, Alabama",,(334) 872-1931,default@example.com,,,,"32,415","-87,0305",Claim this business,Electrician,5,2,//geo1.ggpht.com/cbk?panoid=JTAMkzJySl9vdfDvUn5TIA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=0.8299836&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Selma+Electric+Repair/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f05d707a320e3:0x6973015f20d6b8f1!8m2!3d32.415!4d-87.0305?hl=en"
15,554,"Perry County, Alabama Electrician",S S Electric,"505 Mallard Dr, Uniontown, AL 36786",505 Mallard Dr,Uniontown,AL,36786,,,(334) 628-8161,default@example.com,,,,"32,4495804","-87,5141687",Claim this business,Electrician,,,//geo0.ggpht.com/cbk?panoid=aM4YhlfdePXpLfXD3T4x7Q&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=20.493776&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/S+S+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f7db945e63203:0x5a901499437f5dc2!8m2!3d32.4495804!4d-87.5141687?hl=en"
16,542,"Bullock County, Alabama Electrician",Copper T Electric Inc,"4160 AL-130, Banks, AL 36005",4160 AL-130,Banks,AL,36005,"Q7HP+C9 Banks, Alabama",,(334) 735-0955,default@example.com,,,,"31,7785637","-85,7140874",Claim this business,Electrician,1,1,//geo1.ggpht.com/cbk?panoid=hbVagjMOrCmmh-TDmFCjcQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=73.0612&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Copper+T+Electric+Inc/@32.5564373,-88.7944152,7z/data=!4m8!1m2!2m1!1sBullock+County,+Alabama+Electrician!3m4!1s0x888d9a74bd50250b:0x90b786531e75ffba!8m2!3d31.7785637!4d-85.7140874?hl=en"
17,539,"Bullock County, Alabama Electrician",Pike County Electric - Burt Barnett,"3628 AL-223, Troy, AL 36081",3628 AL-223,Troy,AL,36081,"W55W+82 Troy, Alabama",,(334) 566-2296,default@example.com,,,,"31,9083476","-85,8049592",Claim this business,Electrician,,,//geo1.ggpht.com/cbk?panoid=nalslr1O2tDlze0fp5TjOw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=313.63217&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Pike+County+Elec-Burt+Barnett/@32.5564373,-88.7944152,7z/data=!4m8!1m2!2m1!1sBullock+County,+Alabama+Electrician!3m4!1s0x888d97cc5f00dba9:0xd29c6b3327ca02d1!8m2!3d31.9083476!4d-85.8049592?hl=en"
18,538,"Lowndes County, Alabama Electrician","Dixie Electric, Plumbing & Air","580 Trade Center St, Montgomery, AL 36108",580 Trade Center St,Montgomery,AL,36108,"9MC3+2H Montgomery, Alabama",calldixie.com,(334) 262-2946,default@example.com,,,,"32,3700482","-86,3461122",,Electrician,"4,7",345,https://lh5.googleusercontent.com/p/AF1QipNd2fd9O8iKNODQj9BlCMXa0wbyfkV-92dxHhAb=w408-h306-k-no,,,,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"All, Latest, By owner, Street View & 360°","https://www.google.com/maps/place/Dixie+Electric,+Plumbing+%26+Air/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sLowndes+County,+Alabama+Electrician!3m4!1s0x888e86c83f187d83:0x1da4b08f8263fd8e!8m2!3d32.3700482!4d-86.3461122?hl=en"
19,530,"Lowndes County, Alabama Electrician",Sippial Electrical Services,"733 Sullivans Trce, Montgomery, AL 36105",733 Sullivans Trce,Montgomery,AL,36105,"6M2Q+RG Montgomery, Alabama",,(334) 284-1803,default@example.com,,,,"32,202076","-86,311221",Claim this business,Electrician,"3,7",3,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Sippial+Electrical+Services/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sLowndes+County,+Alabama+Electrician!3m4!1s0x888e7930c1062c37:0x773e253456fc0fdb!8m2!3d32.202076!4d-86.311221?hl=en"
20,528,"Lowndes County, Alabama Electrician",JCE Electrical,"837 Posey Rd, Lapine, AL 36046",837 Posey Rd,Lapine,AL,36046,"WJH6+3C Lapine, Alabama",,(334) 318-2044,default@example.com,,,,"31,9276711","-86,3888882",,Electrician,5,1,//geo2.ggpht.com/cbk?panoid=aAEHkSvKzGy239bQvSWvvg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=237.28159&pitch=0&thumbfov=100,,,,,,7AM–6PM,7AM–6PM,7AM–6PM,7AM–6PM,7AM–6PM,7AM–6PM,7AM–6PM,,"All, By owner, Street View & 360°","https://www.google.com/maps/place/JCE+Electrical/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sLowndes+County,+Alabama+Electrician!3m4!1s0x888e0d4244b6f2ff:0x13fd7f7f689633d8!8m2!3d31.9276711!4d-86.3888882?hl=en"
21,525,"Lowndes County, Alabama Electrician",Harrison Electric,"363 Golson Rd E, Fort Deposit, AL 36032",363 Golson Rd E,Fort Deposit,AL,36032,"XG7M+Q5 Fort Deposit, Alabama",harrison-electric.ueniweb.com,(334) 328-5579,default@example.com,,,,"31,964445","-86,4670819",,Electrician,,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Harrison+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sLowndes+County,+Alabama+Electrician!3m4!1s0x888e6d2eb8859837:0x26e709eb8aef22ce!8m2!3d31.964445!4d-86.4670819?hl=en"
22,522,"Coosa County, Alabama Electrician",Alpine Electrical Services LLC,"155 James Payton Blvd, Sylacauga, AL 35150",155 James Payton Blvd,Sylacauga,AL,35150,"5PG6+RC Sylacauga, Alabama",,(256) 249-3299,default@example.com,,,,"33,1770217","-86,2889095",Claim this business,Electrician,,,//geo0.ggpht.com/cbk?panoid=OtGWeW42dlq4Gx5GckAOfw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=66.59989&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Alpine+Electrical+Services+LLC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888957a30d494efb:0xc254bfd387cdd092!8m2!3d33.1770217!4d-86.2889095?hl=en"
23,521,"Coosa County, Alabama Electrician",Hadden Electric Inc,"50 Electric Ln, Sylacauga, AL 35151",50 Electric Ln,Sylacauga,AL,35151,"5PG3+55 Sylacauga, Alabama",,(256) 245-7233,default@example.com,,,,"33,1754276","-86,2970988",Claim this business,Electrician,,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Hadden+Electric+Inc/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888957a7556c3503:0x80779c09a7e59438!8m2!3d33.1754276!4d-86.2970988?hl=en"
24,520,"Coosa County, Alabama Electrician",Braswell Electric,"4225 Odens Mill Rd, Sylacauga, AL 35151",4225 Odens Mill Rd,Sylacauga,AL,35151,"5MH5+68 Sylacauga, Alabama",,(256) 245-2302,default@example.com,,,,"33,1780795","-86,341643",Claim this business,Electrician,4,1,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Braswell+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888950cbecc1f53f:0x440979a9579a7d4b!8m2!3d33.1780795!4d-86.341643?hl=en"
25,519,"Coosa County, Alabama Electrician",Electrical Technologies,"603 Gene E Stewart Blvd, Sylacauga, AL 35151",603 Gene E Stewart Blvd,Sylacauga,AL,35151,"5P93+X9 Sylacauga, Alabama",,(256) 207-9473,default@example.com,,,,"33,1699229","-86,2965628",Claim this business,Electrician,,,//geo3.ggpht.com/cbk?panoid=Y7SwLt6Ayqu5vAqeT-Rjag&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=173.04784&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Electrical+Technologies/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888957a80f314fff:0xdf4de88a511fe2f0!8m2!3d33.1699229!4d-86.2965628?hl=en"
26,518,"Coosa County, Alabama Electrician",David Stewart Electric Inc,"230 W 1st St, Sylacauga, AL 35150",230 W 1st St,Sylacauga,AL,35150,"5P9W+P6 Sylacauga, Alabama",,(256) 249-3737,default@example.com,,,,"33,1693134","-86,2544387",Claim this business,Electrician,,,//geo3.ggpht.com/cbk?panoid=2tgLIv4A81dMI7gpghdxmQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=335.21863&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/David+Stewart+Electric+Inc/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888bfd62d180f43b:0x93cc2a07311fde14!8m2!3d33.1693134!4d-86.2544387?hl=en"
27,515,"Coosa County, Alabama Electrician",C&T Electric LLC,"3775 Hillabee Rd, Alexander City, AL 35010",3775 Hillabee Rd,Alexander City,AL,35010,"X38W+CP Alexander City, Alabama",candtelectricllc.com,(256) 234-0007,default@example.com,,,,"32,9660621","-85,9032384",,Electrician,5,146,https://lh5.googleusercontent.com/p/AF1QipOXX32xJ2Zot8D8TyDUYaZyLbvGWeoMLQ597eIr=w408-h272-k-no,,,,,,8AM–4:30PM,8AM–4:30PM,8AM–4:30PM,8AM–4:30PM,8AM–4:30PM,Closed,Closed,,"All, By owner, Street View & 360°","https://www.google.com/maps/place/C%26T+Electric+LLC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888c74e26dad997d:0x55ab883adce18e02!8m2!3d32.9660621!4d-85.9032384?hl=en"
28,512,"Coosa County, Alabama Electrician",Rush Electric & Plumbing Inc,"2731 Old Dark Rd, Alexander City, AL 35010",2731 Old Dark Rd,Alexander City,AL,35010,"X244+VX Alexander City, Alabama",,(256) 234-4023,default@example.com,,,,"32,9571657","-85,9925576",Claim this business,Electrician,,,//geo3.ggpht.com/cbk?panoid=IcwliqvO2WJrz1dMr9bQvA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=205.15051&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Rush+Electric+%26+Plumbing+Inc/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888c0bc792994ce1:0xfadcc619e8c7998b!8m2!3d32.9571657!4d-85.9925576?hl=en"
29,510,"Coosa County, Alabama Electrician",Clowdus Electric,"2221 Red Barn Rd, Kellyton, AL 35089",2221 Red Barn Rd,Kellyton,AL,35089,"22FG+JV Kellyton, Alabama",clowduselectric.com,(256) 839-6042,default@example.com,,,,"33,024087","-85,9728217",,Electrician,5,1,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Clowdus+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sCoosa+County,+Alabama+Electrician!3m4!1s0x888bf582bc2d585b:0x77c5b5602dd1a45b!8m2!3d33.024087!4d-85.9728217?hl=en"
30,499,"Wilcox County, Alabama Electrician",Pioneer Electric Cooperative,"300 Herbert St, Greenville, AL 36037",300 Herbert St,Greenville,AL,36037,"R9HF+47 Greenville, Alabama",pioneerelectric.com,(334) 382-6636,default@example.com,,,,"31,8278274","-86,6268615",Claim this business,Electrician,"3,7",46,//geo0.ggpht.com/cbk?panoid=QqF4jl5EUV8iCYDVZT7E8A&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=351.86984&pitch=0&thumbfov=100,,,,,,7AM–4PM,7AM–4PM,7AM–4PM,7AM–4PM,7AM–4PM,Closed,Closed,,"All, Street View & 360°","https://www.google.com/maps/place/Pioneer+Electric+Cooperative/@29.5394666,-88.7473534,6z/data=!4m8!1m2!2m1!1sWilcox+County,+Alabama+Electrician!3m4!1s0x888e3c4eb9357a7b:0xccc31965d864405b!8m2!3d31.8278274!4d-86.6268615?hl=en"
31,495,"Wilcox County, Alabama Electrician",OCS Electrical Services LLC,"30891 US-43, Thomasville, AL 36784",30891 US-43,Thomasville,AL,36784,"V7R4+C8 Thomasville, Alabama",,(334) 456-9522,default@example.com,,,,"31,891032","-87,7441843",,Electrician,5,2,https://lh5.googleusercontent.com/p/AF1QipMhB7jg4NnNw7kSXJVA3KSrJ0pkp6A79lsJ29zs=w427-h240-k-no,,,,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"All, By owner, Street View & 360°","https://www.google.com/maps/place/OCS+Electrical+Services+LLC/@29.5394666,-88.7473534,6z/data=!4m8!1m2!2m1!1sWilcox+County,+Alabama+Electrician!3m4!1s0x8885437cabd2a5bb:0x41a2c08fb3a44c1a!8m2!3d31.891032!4d-87.7441843?hl=en"
32,490,"Conecuh County, Alabama Electrician",Wenger Electric,"Atmore, AL 36502",,Atmore,AL,36502,,,(251) 368-8272,default@example.com,,,,"31,0237921","-87,4938708",Claim this business,Electrician,,,//geo3.ggpht.com/cbk?panoid=i55wOoql7jRunSVsq7VlNQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=255.04608&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Wenger+Electric/@29.5394666,-90.3372372,6z/data=!4m8!1m2!2m1!1sConecuh+County,+Alabama+Electrician!3m4!1s0x889079b175270405:0xd76e537bd243ff4e!8m2!3d31.0237921!4d-87.4938708?hl=en"
33,482,"Conecuh County, Alabama Electrician",T & B Electric Svc LLC,"158 Hammond Dr, Monroeville, AL 36460",158 Hammond Dr,Monroeville,AL,36460,"GMQP+6F Monroeville, Alabama",,(251) 575-2139,default@example.com,,,,"31,5380124","-87,3137798",Claim this business,Electrician,,,//geo1.ggpht.com/cbk?panoid=xgxCWN9o-N7riFw06uU-Qw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=84.608406&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/T+%26+B+Electric+Svc+LLC/@29.5394666,-90.3372372,6z/data=!4m8!1m2!2m1!1sConecuh+County,+Alabama+Electrician!3m4!1s0x88901c3b819cf753:0x5df9c9d9e4532f95!8m2!3d31.5380124!4d-87.3137798?hl=en"
34,481,"Conecuh County, Alabama Electrician",Lassiter's Electrical Services,"2491 Co Rd 30, Peterman, AL 36471",2491 Co Rd 30,Peterman,AL,36471,"HPHX+QR Peterman, Alabama",,(251) 564-2765,default@example.com,,,,"31,5794082","-87,2504992",Claim this business,Electrician,,,//geo2.ggpht.com/cbk?panoid=sle1TBMog8pHgjjy6cXmxg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=50.311256&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Lassiter's+Electrical+Services/@29.5394666,-90.3372372,6z/data=!4m8!1m2!2m1!1sConecuh+County,+Alabama+Electrician!3m4!1s0x88901fc649abafed:0x23b283e45ba08e16!8m2!3d31.5794082!4d-87.2504992?hl=en"
